Source Labware Label,Source position,Destination Labware Label,Destination Position,Volume,Note
96 Well Eppendorf TwinTec PCR[001],1,2.0ml Eppendorf[001],1,3,PLateH1_to_Tube
96 Well Eppendorf TwinTec PCR[001],2,2.0ml Eppendorf[001],1,3,PLateH1_to_Tube
96 Well Eppendorf TwinTec PCR[001],3,2.0ml Eppendorf[001],1,3,PLateH1_to_Tube
96 Well Eppendorf TwinTec PCR[001],4,2.0ml Eppendorf[001],1,3,PLateH1_to_Tube
96 Well Eppendorf TwinTec PCR[001],5,2.0ml Eppendorf[001],1,3,PLateH1_to_Tube
96 Well Eppendorf TwinTec PCR[001],6,2.0ml Eppendorf[001],1,3,PLateH1_to_Tube
96 Well Eppendorf TwinTec PCR[001],7,2.0ml Eppendorf[001],1,3,PLateH1_to_Tube
96 Well Eppendorf TwinTec PCR[002],1,2.0ml Eppendorf[001],1,3,PLateH2_to_Tube
96 Well Eppendorf TwinTec PCR[002],2,2.0ml Eppendorf[001],1,3,PLateH2_to_Tube
96 Well Eppendorf TwinTec PCR[002],3,2.0ml Eppendorf[001],1,3,PLateH2_to_Tube
96 Well Eppendorf TwinTec PCR[002],4,2.0ml Eppendorf[001],1,3,PLateH2_to_Tube
96 Well Eppendorf TwinTec PCR[002],5,2.0ml Eppendorf[001],1,3,PLateH2_to_Tube
96 Well Eppendorf TwinTec PCR[002],6,2.0ml Eppendorf[001],1,3,PLateH2_to_Tube
96 Well Eppendorf TwinTec PCR[002],7,2.0ml Eppendorf[001],1,3,PLateH2_to_Tube
96 Well Eppendorf TwinTec PCR[002],8,2.0ml Eppendorf[001],1,3,PLateH2_to_Tube
